timestamp,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
276286.0,0.79,0.34,0.12,-5.43,-1.46,109.5
276296.0,0.86,0.31,0.07,4.39,1.71,109.99
276306.0,0.87,0.47,0.07,22.52,17.58,105.96
276316.0,0.91,0.39,0.05,2.81,1.77,111.02
276326.0,0.93,0.38,0.08,-3.66,1.65,110.6
276336.0,0.89,0.28,0.07,4.82,3.97,109.74
276346.0,0.89,0.31,0.09,9.89,7.57,107.91
276356.0,0.99,0.27,0.05,8.12,8.12,106.75
276366.0,0.98,0.29,0.06,8.67,8.79,106.45
276376.0,0.94,0.23,0.1,-2.01,0.61,109.25
276386.0,1.01,0.15,0.06,6.16,4.52,108.22
276396.0,0.92,0.24,0.04,12.63,7.02,106.14
276406.0,0.95,0.15,0.08,1.95,0.98,107.73
276416.0,0.98,0.11,0.06,10.31,5.92,104.92
276426.0,0.94,0.18,0.05,10.01,4.94,104.92
276436.0,0.9,0.19,0.09,9.22,5.0,106.26
276446.0,0.99,0.16,0.13,8.79,4.58,106.51
276456.0,0.91,0.13,0.05,7.08,4.33,105.9
276466.0,1.03,0.05,0.09,6.35,5.31,106.57
276476.0,0.97,0.1,0.08,9.89,5.55,107.18
276486.0,0.93,0.06,0.12,5.0,3.6,106.26
276496.0,1.09,0.03,0.05,10.13,6.84,105.22
276506.0,1.01,0.06,0.09,5.0,2.2,107.24
276516.0,0.88,-0.02,0.07,7.87,2.2,107.42
276526.0,0.99,-0.02,0.07,9.64,4.94,106.99
276536.0,1.04,-0.04,0.12,10.19,4.21,106.14
276546.0,0.99,-0.07,0.1,5.31,4.09,106.57
276556.0,0.92,-0.13,0.05,7.14,3.48,107.36
276566.0,0.91,-0.08,0.02,8.48,3.36,105.71
276576.0,1.01,-0.14,0.08,7.02,4.03,105.35
276586.0,0.97,-0.17,0.04,7.69,4.7,105.1
276596.0,0.95,-0.21,0.09,12.57,5.68,104.8
276606.0,1.03,-0.21,0.09,9.34,4.94,105.22
276616.0,0.98,-0.19,0.06,11.11,4.46,103.82
276626.0,0.94,-0.13,0.08,7.2,3.72,104.8
276636.0,0.95,-0.25,0.06,5.8,3.48,105.16
276646.0,0.92,-0.27,0.12,6.9,4.33,105.65
276656.0,1.0,-0.32,0.14,5.25,3.85,106.81
276666.0,0.98,-0.28,0.04,9.22,3.17,104.43
276676.0,0.9,-0.32,0.07,5.62,2.75,104.55
276686.0,0.96,-0.3,0.08,7.69,2.44,102.84
276696.0,0.84,-0.36,0.1,7.08,3.11,105.59
276706.0,0.89,-0.31,-0.01,8.24,2.75,104.8
276716.0,0.99,-0.48,0.03,4.15,4.27,105.16
276726.0,0.89,-0.44,0.07,3.3,4.94,105.53
